user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
FOM_2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	97.1	0.853	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	97.1	0.853	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004521965.1, s__Weissella cibaria_A, 95.0, 93.19, 0.708; GCF_004766315.1, s__Weissella confusa_A, 95.0, 81.8, 0.168; GCF_007991875.1, s__Weissella confusa, 95.0, 81.66, 0.159; GCA_016466735.1, s__Weissella confusa_B, 95.0, 81.25, 0.154	66.69	11	N/A	N/A
FOM_3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	GCF_014634745.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	98.76	0.9	GCF_014634745.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	98.76	0.9	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014634805.1, s__Leuconostoc falkenbergense, 95.0, 92.8, 0.776	74.8	11	N/A	N/A
FOM_4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Periweissella;s__Periweissella fabalis	GCF_012396505.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Periweissella;s__Periweissella fabalis	99.21	0.841	GCF_012396505.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Periweissella;s__Periweissella fabalis	99.21	0.841	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Periweissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_918814755.1, s__Periweissella ghanensis, 95.0, 87.96, 0.456; GCF_918814575.1, s__Periweissella fabaria, 95.0, 85.24, 0.374	71.04	11	N/A	N/A
FOM_5	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	98.32	0.945	GCF_004521965.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria_A	93.26	0.696	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	N/A	GCA_016466735.1, s__Weissella confusa_B, 95.0, 83.69, 0.203; GCF_007991875.1, s__Weissella confusa, 95.0, 83.38, 0.204; GCF_004766315.1, s__Weissella confusa_A, 95.0, 82.7, 0.206	59.5	11	N/A	N/A
FOM_6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	GCF_004354555.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	98.92	0.898	GCF_004354555.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	98.92	0.898	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.41	11	N/A	N/A
FOM_7	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	99.03	0.746	GCF_029023865.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	99.03	0.746	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001591705.1, s__Lactococcus cremoris, 95.0, 89.74, 0.34	54.54	11	N/A	N/A
FOM_8	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Periweissella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Periweissella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	29.2	11	0.97973	N/A
FOM_9	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	96.7	0.883	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	96.7	0.883	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004521965.1, s__Weissella cibaria_A, 95.0, 93.64, 0.823; GCF_004766315.1, s__Weissella confusa_A, 95.0, 82.4, 0.181; GCF_007991875.1, s__Weissella confusa, 95.0, 81.96, 0.186; GCA_016466735.1, s__Weissella confusa_B, 95.0, 81.9, 0.169	92.43	11	N/A	N/A
UBT_1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	98.43	0.9	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_007991875.1, s__Weissella confusa, 95.0, 98.43, 0.9; GCA_014332815.1, s__Weissella confusa_C, 95.0, 93.93, 0.473; GCF_004766315.1, s__Weissella confusa_A, 95.0, 92.63, 0.788; GCA_016466735.1, s__Weissella confusa_B, 95.0, 92.39, 0.8; GCF_000193635.1, s__Weissella cibaria, 95.0, 84.16, 0.255; GCF_004521965.1, s__Weissella cibaria_A, 95.0, 82.15, 0.199	57.66	11	N/A	N/A
UBT_2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	97.85	0.777	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_007991875.1, s__Weissella confusa, 95.0, 97.85, 0.777; GCA_014332815.1, s__Weissella confusa_C, 95.0, 94.98, 0.472; GCF_004766315.1, s__Weissella confusa_A, 95.0, 93.08, 0.702; GCA_016466735.1, s__Weissella confusa_B, 95.0, 92.72, 0.714; GCF_000193635.1, s__Weissella cibaria, 95.0, 84.49, 0.322; GCF_004521965.1, s__Weissella cibaria_A, 95.0, 82.84, 0.261	42.6	11	N/A	N/A
UBT_3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	98.35	0.816	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	98.35	0.816	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004521965.1, s__Weissella cibaria_A, 95.0, 92.67, 0.684; GCF_007991875.1, s__Weissella confusa, 95.0, 82.44, 0.164; GCA_016466735.1, s__Weissella confusa_B, 95.0, 82.15, 0.152; GCF_004766315.1, s__Weissella confusa_A, 95.0, 81.12, 0.151	50.15	11	N/A	N/A
